GT40001    T4          0.0000000       50.0000000 0.0 0.0
GT40002    T4          1.0000000       49.9995501 0.0 0.0
GT40003    T4          2.0000000       49.9810148 0.0 0.0
GT40004    T4          3.0000000       49.9616799 0.0 0.0
GT40005    T4          4.0000000       49.9526677 0.0 0.0
GT40006    T4          5.0000000       49.9514969 0.0 0.0
GT40007    T4          6.0000000       49.9436078 0.0 0.0
GT40008    T4          7.0000000       49.9415061 0.0 0.0
GT40009    T4          8.0000000       49.9391308 0.0 0.0
GT40010    T4          9.0000000       49.9435011 0.0 0.0
GT40011    T4         10.0000000       49.9515191 0.0 0.0
GT40012    T4         11.0000000       49.9515243 0.0 0.0
GT40013    T4         12.0000000       49.9379837 0.0 0.0
GT40014    T4         13.0000000       49.9315342 0.0 0.0
GT40015    T4         14.0000000       49.9368272 0.0 0.0
GT40016    T4         15.0000000       49.9568267 0.0 0.0
GT40017    T4         16.0000000       49.9571656 0.0 0.0
GT40018    T4         17.0000000       49.9482307 0.0 0.0
GT40019    T4         18.0000000       49.9502857 0.0 0.0
GT40020    T4         19.0000000       49.9331404 0.0 0.0
GT40021    T4         20.0000000       49.9234622 0.0 0.0
GT40022    T4         21.0000000       49.8916937 0.0 0.0
GT40023    T4         22.0000000       49.8114383 0.0 0.0
GT40024    T4         23.0000000       49.6362622 0.0 0.0
GT40025    T4         24.0000000       49.5915854 0.0 0.0
GT40026    T4         25.0000000       49.5915900 0.0 0.0
GT40027    T4         26.0000000       49.5915946 0.0 0.0
GT40028    T4         27.0000000       49.5915992 0.0 0.0
GT40029    T4         28.0000000       49.6016031 0.0 0.0
GT40030    T4         29.0000000       49.5916078 0.0 0.0
GT40031    T4         30.0000000       49.5916140 0.0 0.0
GT40032    T4         31.0000000       49.6016179 0.0 0.0
GT40033    T4         32.0000000       49.6034409 0.0 0.0
GT40034    T4         33.0000000       49.6023724 0.0 0.0
GT40035    T4         34.0000000       49.5932476 0.0 0.0
GT40036    T4         35.0000000       49.5743646 0.0 0.0
GT40037    T4         36.0000000       49.5541870 0.0 0.0
GT40038    T4         37.0000000       49.5414453 0.0 0.0
GT40039    T4         38.0000000       49.5357588 0.0 0.0
GT40040    T4         39.0000000       49.5315703 0.0 0.0
GT40041    T4         40.0000000       49.5216589 0.0 0.0
GT40042    T4         41.0000000       49.5307971 0.0 0.0
GT40043    T4         42.0000000       49.5216679 0.0 0.0
GT40044    T4         43.0000000       49.5223886 0.0 0.0
GT40045    T4         44.0000000       49.5316768 0.0 0.0
GT40046    T4         45.0000000       49.5359440 0.0 0.0
GT40047    T4         46.0000000       49.5328813 0.0 0.0
GT40048    T4         47.0000000       49.5469108 0.0 0.0
GT40049    T4         48.0000000       49.6063010 0.0 0.0
GT40050    T4         49.0000000       49.6249327 0.0 0.0
GT40051    T4         50.0000000       49.6217031 0.0 0.0
GT40052    T4         51.0000000       49.6217031 0.0 0.0
GT40053    T4         52.0000000       49.6217031 0.0 0.0
GT40054    T4         53.0000000       49.6217031 0.0 0.0
GT40055    T4         54.0000000       49.6217031 0.0 0.0
GT40056    T4         55.0000000       49.6217031 0.0 0.0
GT40057    T4         56.0000000       49.6217031 0.0 0.0
GT40058    T4         57.0000000       49.6217031 0.0 0.0
GT40059    T4         58.0000000       49.6217031 0.0 0.0
GT40060    T4         59.0000000       49.6217031 0.0 0.0
GT40061    T4         60.0000000       49.6217031 0.0 0.0
GT40062    T4         61.0000000       49.6217031 0.0 0.0
GT40063    T4         62.0000000       49.6217031 0.0 0.0
GT40064    T4         63.0000000       49.6217031 0.0 0.0
GT40065    T4         64.0000000       49.6217031 0.0 0.0
GT40066    T4         65.0000000       49.6217031 0.0 0.0
GT40067    T4         66.0000000       49.6217031 0.0 0.0
GT40068    T4         67.0000000       49.6217031 0.0 0.0
GT40069    T4         68.0000000       49.6217031 0.0 0.0
GT40070    T4         69.0000000       49.6217031 0.0 0.0
GT40071    T4         70.0000000       49.6217031 0.0 0.0
GT40072    T4         71.0000000       49.6217031 0.0 0.0
