N000       T3          0.5000000       50.0024607 0.0 0.0
N001       T3          2.5000000       49.9900568 0.0 0.0
N002       T3          4.5000000       50.0354187 0.0 0.0
N003       T3          6.5000000       50.0840229 0.0 0.0
N004       T3          8.5000000       50.1210112 0.0 0.0
N005       T3         10.4600000       50.1384984 0.0 0.0
N006       T3         12.5000000       50.1806765 0.0 0.0
N007       T3         14.4650000       50.2558117 0.0 0.0
N008       T3         16.4600000       50.2801179 0.0 0.0
N009       T3         18.5000000       50.3126611 0.0 0.0
N010       T3         20.5000000       50.3362532 0.0 0.0
N011       T3         22.5000000       50.3568627 0.0 0.0
N012       T3         24.5800000       50.3986713 0.0 0.0
N013       T3         26.3600000       50.3795300 0.0 0.0
N014       T3         28.5000000       50.3770475 0.0 0.0
N015       T3         30.5000000       50.3836309 0.0 0.0
N016       T3         32.4100000       50.3489161 0.0 0.0
N017       T3         34.5000000       50.3107319 0.0 0.0
N018       T3         36.4400000       50.2712936 0.0 0.0
N019       T3         38.3500000       50.1888182 0.0 0.0
N020       T3         40.5000000       50.0938994 0.0 0.0
N021       T3         42.4600000       50.0210496 0.0 0.0
N022       T3         44.5000000       49.9419559 0.0 0.0
N023       T3         46.4400000       49.9121138 0.0 0.0
N024       T3         48.4200000       49.9175328 0.0 0.0
N025       T3         50.5000000       49.9091511 0.0 0.0
N026       T3         52.5300000       49.9091181 0.0 0.0
N027       T3         54.4700000       49.9511680 0.0 0.0
N028       T3         56.6500000       50.0111444 0.0 0.0
N029       T3         58.4300000       50.0524098 0.0 0.0
N030       T3         60.5000000       50.1143095 0.0 0.0
N031       T3         62.4100000       50.1496764 0.0 0.0
N032       T3         64.5000000       50.1100583 0.0 0.0
N033       T3         66.5000000       50.0440570 0.0 0.0
N034       T3         68.5000000       50.0383523 0.0 0.0
