distance_m,elevation_m
0.0,13.1138715744018
0.332205976140219,13.1164922714233
0.664411952280439,13.1390714645385
0.996617928420659,13.1605558395385
1.32882390456087,13.1787071228027
1.66102988070109,13.2079010009765
1.99323585684131,13.2142105102539
2.32544183298153,13.2174253463745
2.65764780912175,13.2335968017578
2.98985378526197,13.2335596084594
3.32205976140219,13.230031967163
3.65426573754241,13.20956325531
3.98647171368263,13.1962299346923
4.31867768982285,13.1823682785034
4.65088366596307,13.1820163726806
4.98308964210329,13.1818399429321
5.31529561824351,13.1816625595092
5.64750159438373,13.1814737319946
5.97970757052395,13.1847066879272
6.31191354666417,13.1909580230712
6.64411952280439,13.1914710998535
6.97632549894461,13.1942424774169
7.30853147508483,13.2002515792846
7.64073745122505,13.1998977661132
7.97294342736527,13.1997213363647
8.30514940350549,13.1941032409667
8.63735537964571,13.1628408432006
8.96956135578593,13.136001586914
9.30176733192615,13.116000175476
9.63397330806637,13.1004047393798
9.96617928420659,13.1003160476684
10.2983852603468,13.1002264022827
10.630591236487,13.1032133102417
10.9627972126272,13.1123781204223
11.2950031887674,13.119815826416
11.6272091649076,13.137071609497
11.9594151410479,13.1368942260742
12.2916211171881,13.1389989852905
12.6238270933283,13.1433944702148
12.9560330694685,13.1440992355346
13.2882390456087,13.1501731872558
13.620445021749,13.1621465682983
13.9526509978892,13.1678142547607
14.2848569740294,13.1653070449829
14.6170629501696,13.1501178741455
14.9492689263098,13.1440916061401
15.2814749024501,13.1317911148071
15.6136808785903,13.1154022216796
15.9458868547305,13.1040716171264
16.2780928308707,13.105224609375
16.6102988070109,13.1080045700073
16.9425047831512,13.1195793151855
17.2747107592914,13.1263551712036
17.6069167354316,13.1330108642578
17.9391227115718,13.1426572799682
18.271328687712,13.1424808502197
18.6035346638523,13.1438846588134
18.9357406399925,13.1586475372314
19.2679466161327,13.1681146621704
19.6001525922729,13.189414024353
19.9323585684131,13.2967882156372
20.2645645445534,13.3413667678833
20.5967705206936,13.3565807342529
20.9289764968338,13.3219242095947
21.261182472974,13.3039894104003
21.5933884491142,13.2981081008911
21.9255944252545,13.3067874908447
22.2578004013947,13.3185224533081
22.5900063775349,13.3326511383056
22.9222123536751,13.3568220138549
23.2544183298153,13.3698635101318
23.5866243059556,13.3733930587768
23.9188302820958,13.3287124633789
24.251036258236,13.3153314590454
24.5832422343762,13.310975074768
24.9154482105164,13.3241376876831
25.2476541866567,13.3553762435913
25.5798601627969,13.3738670349121
25.9120661389371,13.4057369232177
26.2442721150773,13.4240169525146
26.5764780912175,13.4312744140625
26.9086840673578,13.4058895111083
27.240890043498,13.3858880996704
27.5730960196382,13.3690605163574
27.9053019957784,13.3627672195434
28.2375079719186,13.3670005798339
28.5697139480588,13.3773889541625
28.9019199241991,13.4035587310791
29.2341259003393,13.400294303894
29.5663318764795,13.3902044296264
29.8985378526197,13.3790464401245
30.2307438287599,13.3722200393676
30.5629498049002,13.3722190856933
30.8951557810404,13.3753948211669
31.2273617571806,13.3822154998779
31.5595677333208,13.3822145462036
31.891773709461,13.3793125152587
32.2239796856013,13.3661069869995
32.5561856617415,13.3492393493652
32.8883916378817,13.3422079086303
33.2205976140219,13.3453350067138
33.5528035901621,13.3488588333129
33.8850095663024,13.3387355804443
34.2172155424426,13.3290224075317
34.5494215185828,13.315842628479
34.881627494723,13.2626600265502
35.2138334708632,13.235836982727
35.5460394470035,13.2190151214599
35.8782454231437,13.2153720855712
36.2104513992839,13.2249851226806
36.5426573754241,13.2313032150268
36.8748633515643,13.2492389678955
37.2070693277046,13.2490625381469
37.5392753038448,13.2488861083984
37.871481279985,13.248532295227
38.2036872561252,13.2483558654785
38.5358932322654,13.2481794357299
38.8680992084057,13.2478256225585
39.2003051845459,13.24764919281
39.5325111606861,13.2474718093872
39.8647171368263,13.2479238510131
40.1969231129665,13.2519092559814
40.5291290891068,13.2567672729492
40.861335065247,13.2565908432006
41.1935410413872,13.2521095275878
41.5257470175274,13.2407960891723
41.8579529936676,13.2336997985839
42.1901589698079,13.224606513977
42.5223649459481,13.2142715454101
42.8545709220883,13.210576057434
43.1867768982285,13.1911582946777
43.5189828743687,13.190894126892
43.851188850509,13.1906309127807
44.1833948266492,13.1973047256469
44.5156008027894,13.2071256637573
44.8478067789296,13.2137641906738
45.1800127550698,13.2172508239746
45.5122187312101,13.2132358551025
45.8444247073503,13.2098722457885
46.1766306834905,13.1927337646484
46.5088366596307,13.1825304031372
46.8410426357709,13.1775379180908
47.1732486119112,13.1588125228881
47.5054545880514,13.1502780914306
47.8376605641916,13.1452188491821
48.1698665403318,13.1281051635742
48.502072516472,13.1179285049438
48.8342784926123,13.1095361709594
49.1664844687525,13.0963582992553
49.4986904448927,13.0962686538696
49.8308964210329,13.0929908752441
50.1631023971731,13.0840492248535
50.4953083733134,13.0797042846679
50.8275143494536,13.0763368606567
51.1597203255938,13.0624561309814
51.491926301734,13.053463935852
51.8241322778742,13.0466995239257
52.1563382540145,13.0362920761108
52.4885442301547,13.0303955078125
52.8207502062949,13.0258817672729
53.1529561824351,13.0173969268798
53.4851621585753,13.007134437561
53.8173681347156,12.9936761856079
54.1495741108558,12.9706716537475
54.481780086996,12.9536867141723
54.8139860631362,12.9435100555419
55.1461920392764,12.9231567382812
55.4783980154166,12.9123287200927
55.8106039915569,12.9008531570434
56.1428099676971,12.8806743621826
56.4750159438373,12.8705854415893
56.8072219199775,12.863691329956
57.1394278961177,12.8517427444458
57.471633872258,12.8443336486816
57.8038398483982,12.8405389785766
58.1360458245384,12.8345737457275
58.4682518006786,12.8379201889038
58.8004577768188,12.8409700393676
59.1326637529591,12.8305597305297
59.4648697290993,12.8207874298095
59.7970757052395,12.8103466033935
60.1292816813797,12.786916732788
60.4614876575199,12.7730293273925
60.7936936336602,12.7692689895629
61.1258996098004,12.7489147186279
61.4581055859406,12.7355623245239
61.7903115620808,12.7187137603759
62.122517538221,12.7016286849975
62.4547235143613,12.6980323791503
62.7869294905015,12.68785572052
63.1191354666417,12.6645202636718
63.4513414427819,12.6480913162231
63.7835474189221,12.6409254074096
64.1157533950624,12.617823600769
64.4479593712026,12.6077365875244
64.7801653473428,12.5976467132568
65.112371323483,12.5875577926635
65.4445772996232,12.5715770721435
65.7767832757635,12.5672903060913
66.1089892519037,12.557201385498
66.4411952280439,12.5370225906372
66.7734012041841,12.5301342010498
67.1056071803243,12.5268449783325
67.4378131564646,12.5098667144775
67.7700191326048,12.5065774917602
68.102225108745,12.4989385604858
68.4344310848852,12.4871168136596
68.7666370610254,12.4811944961547
69.0988430371657,12.4761314392089
69.4310490133059,12.4488258361816
69.7632549894461,12.4356212615966
70.0954609655863,12.4188222885131
70.4276669417265,12.4077682495117
70.7598729178668,12.4043188095092
71.092078894007,12.4009323120117
71.4242848701472,12.3876695632934
71.7564908462874,12.3731212615966
72.0886968224276,12.3576116561889
72.4209027985679,12.3348846435546
72.7531087747081,12.3247957229614
73.0853147508483,12.3147058486938
73.4175207269885,12.2888021469116
73.7497267031287,12.2755975723266
74.081932679269,12.2588005065917
74.4141386554092,12.2355918884277
74.7463446315494,12.2187957763671
75.0785506076896,12.208794593811
75.4107565838298,12.1871967315673
75.7429625599701,12.1753511428833
76.0751685361103,12.1687889099121
76.4073745122505,12.1487855911254
76.7395804883907,12.1373138427734
77.0717864645309,12.1257257461547
77.4039924406712,12.1087818145751
77.7361984168114,12.0987787246704
78.0684043929516,12.0919847488403
78.4006103690918,12.0819826126098
78.732816345232,12.0787734985351
79.0650223213723,12.071979522705
79.3972282975125,12.0587692260742
79.7294342736527,12.0487670898437
80.0616402497929,12.0387659072875
80.3938462259331,12.0287647247314
80.7260522020733,12.0209493637084
81.0582581782136,12.0166587829589
81.3904641543538,12.0058374404907
81.722670130494,11.9991340637207
82.0548761066342,11.9960107803344
82.3870820827745,11.9837970733642
82.7192880589147,11.9711637496948
83.0514940350549,11.9663534164428
83.3837000111951,11.948748588562
83.7159059873353,11.9419574737548
84.0481119634755,11.9387435913085
84.3803179396158,11.9313526153564
84.712523915756,11.9269580841064
85.0447298918962,11.916501045227
85.3769358680364,11.8755226135253
85.7091418441767,11.8619470596313
86.0413478203169,11.855520248413
86.3735537964571,11.8419427871704
86.7057597725973,11.8387279510498
87.0379657487375,11.8319406509399
87.3701717248777,11.8319377899169
87.702377701018,11.8319368362426
88.0345836771582,11.8287210464477
88.3667896532984,11.8087186813354
88.6989956294386,11.7987174987792
89.0312016055788,11.7919292449951
89.3634075817191,11.788779258728
89.6956135578593,11.7851600646972
90.0278195339995,11.7886686325073
90.3600255101397,11.781925201416
90.69223148628,11.7815999984741
91.0244374624202,11.7815113067626
91.3566434385604,11.7782068252563
91.6888494147006,11.7680282592773
92.0210553908408,11.761155128479
92.353261366981,11.7578496932983
92.6854673431213,11.7337598800659
93.0176733192615,11.7175798416137
93.3498792954017,11.7074928283691
93.6820852715419,11.6936073303222
94.0142912476821,11.6814346313476
94.3464972238224,11.6771364212036
94.6787031999626,11.6613464355468
95.0109091761028,11.6574525833129
95.343115152243,11.6512870788574
95.6753211283832,11.6498212814331
96.0075271045235,11.649034500122
96.3397330806637,11.6473913192749
96.6719390568039,11.6394653320312
97.0041450329441,11.6393766403198
97.3363510090843,11.639286994934
97.6685569852246,11.633111000061
98.0007629613648,11.6238574981689
98.332968937505,11.6179809570312
98.6651749136452,11.6178398132324
98.9973808897854,11.6222324371337
99.3295868659257,11.619812965393
99.6617928420659,11.6049194335937
99.9939988182061,11.6015214920043
100.326204794346,11.5945663452148
100.658410770486,11.5868082046508
100.990616746626,11.5808143615722
101.322822722767,11.5706377029418
101.655028698907,11.5516300201416
