label,n_traveltimes,mean_abs_dt_ms,median_abs_dt_ms,p90_abs_dt_ms,p95_abs_dt_ms,p99_abs_dt_ms,max_abs_dt_ms,mean_percent_change,p95_abs_percent_change,receiver_spacing_m,shot_spacing_m,receiver_halfwidth_m,shot_halfwidth_m,receiver_count_approx,shot_count_approx
r2_s4_rhw35_shw80,1418,0.07805549691529148,0.06677708485072764,0.16274568257537234,0.18928724373849734,0.243825890353131,0.2994514643411168,0.11534184567880588,2.327270144676623,2,4,35,80,36,41
r2_s4_rhw35_shw100,1768,0.07294372210237482,0.06016204486115374,0.1473196358609679,0.18052198583684848,0.24165469130308292,0.2994514643411168,0.09359322744604143,1.965735301602957,2,4,35,100,36,51
r2_s4_rhw50_shw40,1050,0.08850430198426726,0.07646149069147172,0.18167618607306815,0.21423945486669146,0.27578677564571125,0.326091156900174,0.16363743535802983,3.1771491930023963,2,4,50,40,51,21
r2_s4_rhw50_shw60,1556,0.08522670531291145,0.0732750684260845,0.17536750122329103,0.20723142181694096,0.2612634482300413,0.326091156900174,0.10732394498354687,3.0143505479751065,2,4,50,60,51,31
r2_s4_rhw50_shw80,2066,0.08057108464681942,0.06780047111173797,0.16844539605046244,0.19749323613154768,0.24633472430315295,0.326091156900174,0.10559322318225811,2.4936782330502547,2,4,50,80,51,41
r2_s4_rhw50_shw100,2576,0.07545030358605564,0.06137989293125354,0.1585780580099505,0.18830929206408192,0.24369841070110126,0.326091156900174,0.09249141534235987,2.1454222580150124,2,4,50,100,51,51
r2_s4_rhw75_shw40,1554,0.08544080035060408,0.07408301067281763,0.17452138300057227,0.20676479291078867,0.2612827111733698,0.326091156900174,0.1688362351913231,2.62231601937837,2,4,75,40,76,21
r2_s4_rhw75_shw60,2294,0.08192528220357569,0.0697737499738612,0.1683186204603237,0.19876257461818464,0.24771293657416268,0.326091156900174,0.1294307570797493,2.4494233567052697,2,4,75,60,76,31
r2_s4_rhw75_shw80,3038,0.07690236440627934,0.06419560099284183,0.16192770532704703,0.18902971502930072,0.24377070009916335,0.326091156900174,0.1118945997789671,2.1608347847147384,2,4,75,80,76,41
r2_s4_rhw75_shw100,3788,0.07133033577755508,0.058082718611303374,0.15136564637538344,0.17971904386962184,0.23932005399737347,0.326091156900174,0.09545866471654318,1.8765580406902858,2,4,75,100,76,51
r2_s5_rhw25_shw40,419,0.08137083614310885,0.0700086731836181,0.16674811580673876,0.19757557822110183,0.2452542100798323,0.28361866951897086,0.07466898101298983,4.154150714241394,2,5,25,40,26,17
r2_s5_rhw25_shw60,619,0.08169638422576422,0.07023131700610932,0.16674811580673876,0.19785871955809894,0.24561766061545123,0.3061394825567033,0.015927778643392603,3.0326420572668416,2,5,25,60,26,25
