station,network,x_m,z_m,receiver_type,source_geometry
GT30001,T3,0.0,50.0,geode_refraction,T3_1m_refraction
GT30002,T3,1.0,50.0,geode_refraction,T3_1m_refraction
GT30003,T3,2.0,49.99005922749636,geode_refraction,T3_1m_refraction
GT30004,T3,3.0,49.994857470914155,geode_refraction,T3_1m_refraction
GT30005,T3,4.0,50.01413039057186,geode_refraction,T3_1m_refraction
GT30006,T3,5.0,50.062809944152804,geode_refraction,T3_1m_refraction
GT30007,T3,6.0,50.06717259037506,geode_refraction,T3_1m_refraction
GT30008,T3,7.0,50.100836528723704,geode_refraction,T3_1m_refraction
GT30009,T3,8.0,50.12848215689165,geode_refraction,T3_1m_refraction
GT30010,T3,9.0,50.143056103010345,geode_refraction,T3_1m_refraction
GT30011,T3,10.0,50.12696800342442,geode_refraction,T3_1m_refraction
GT30012,T3,11.0,50.151556371184114,geode_refraction,T3_1m_refraction
GT30013,T3,12.0,50.17315404667906,geode_refraction,T3_1m_refraction
GT30014,T3,13.0,50.198548258423855,geode_refraction,T3_1m_refraction
GT30015,T3,14.0,50.2444683998811,geode_refraction,T3_1m_refraction
GT30016,T3,15.0,50.26997735399083,geode_refraction,T3_1m_refraction
GT30017,T3,16.0,50.27997288472929,geode_refraction,T3_1m_refraction
GT30018,T3,17.0,50.28836635021729,geode_refraction,T3_1m_refraction
GT30019,T3,18.0,50.30684028611602,geode_refraction,T3_1m_refraction
GT30020,T3,19.0,50.3180240920768,geode_refraction,T3_1m_refraction
GT30021,T3,20.0,50.32194418354357,geode_refraction,T3_1m_refraction
GT30022,T3,21.0,50.33644910452467,geode_refraction,T3_1m_refraction
GT30023,T3,22.0,50.35675358531667,geode_refraction,T3_1m_refraction
GT30024,T3,23.0,50.36091846324828,geode_refraction,T3_1m_refraction
GT30025,T3,24.0,50.37980522826088,geode_refraction,T3_1m_refraction
GT30026,T3,25.0,50.39013034440219,geode_refraction,T3_1m_refraction
GT30027,T3,26.0,50.38502509460168,geode_refraction,T3_1m_refraction
GT30028,T3,27.0,50.37172941915418,geode_refraction,T3_1m_refraction
GT30029,T3,28.0,50.3837569326836,geode_refraction,T3_1m_refraction
GT30030,T3,29.0,50.37904259074719,geode_refraction,T3_1m_refraction
GT30031,T3,30.0,50.39476912190811,geode_refraction,T3_1m_refraction
GT30032,T3,31.0,50.37168111274357,geode_refraction,T3_1m_refraction
GT30033,T3,32.0,50.355245664774884,geode_refraction,T3_1m_refraction
GT30034,T3,33.0,50.33028188239686,geode_refraction,T3_1m_refraction
GT30035,T3,34.0,50.31618854232129,geode_refraction,T3_1m_refraction
GT30036,T3,35.0,50.301218469840045,geode_refraction,T3_1m_refraction
GT30037,T3,36.0,50.28699785525877,geode_refraction,T3_1m_refraction
GT30038,T3,37.0,50.26036130781564,geode_refraction,T3_1m_refraction
GT30039,T3,38.0,50.21440404685242,geode_refraction,T3_1m_refraction
GT30040,T3,39.0,50.16757846309295,geode_refraction,T3_1m_refraction
GT30041,T3,40.0,50.11007491415713,geode_refraction,T3_1m_refraction
GT30042,T3,41.0,50.08365252932548,geode_refraction,T3_1m_refraction
GT30043,T3,42.0,50.051978954181344,geode_refraction,T3_1m_refraction
GT30044,T3,43.0,50.00720141904143,geode_refraction,T3_1m_refraction
GT30045,T3,44.0,49.9558506011963,geode_refraction,T3_1m_refraction
GT30046,T3,45.0,49.9354476928711,geode_refraction,T3_1m_refraction
GT30047,T3,46.0,49.91978519127109,geode_refraction,T3_1m_refraction
GT30048,T3,47.0,49.91950247336689,geode_refraction,T3_1m_refraction
GT30049,T3,48.0,49.91917507028594,geode_refraction,T3_1m_refraction
GT30050,T3,49.0,49.910791831225374,geode_refraction,T3_1m_refraction
GT30051,T3,50.0,49.903725731262845,geode_refraction,T3_1m_refraction
GT30052,T3,51.0,49.901994838769696,geode_refraction,T3_1m_refraction
GT30053,T3,52.0,49.90521292153636,geode_refraction,T3_1m_refraction
GT30054,T3,53.0,49.922543658696824,geode_refraction,T3_1m_refraction
GT30055,T3,54.0,49.949258222510295,geode_refraction,T3_1m_refraction
GT30056,T3,55.0,49.957895030405474,geode_refraction,T3_1m_refraction
GT30057,T3,56.0,49.9957818984985,geode_refraction,T3_1m_refraction
GT30058,T3,57.0,50.024621239320076,geode_refraction,T3_1m_refraction
GT30059,T3,58.0,50.0390071868896,geode_refraction,T3_1m_refraction
GT30060,T3,59.0,50.07462082122191,geode_refraction,T3_1m_refraction
GT30061,T3,60.0,50.10268437896646,geode_refraction,T3_1m_refraction
GT30062,T3,61.0,50.12521915944126,geode_refraction,T3_1m_refraction
GT30063,T3,62.0,50.14530504874861,geode_refraction,T3_1m_refraction
GT30064,T3,63.0,50.144071221336795,geode_refraction,T3_1m_refraction
GT30065,T3,64.0,50.12486545055614,geode_refraction,T3_1m_refraction
GT30066,T3,65.0,50.101122972273686,geode_refraction,T3_1m_refraction
GT30067,T3,66.0,50.064229630190574,geode_refraction,T3_1m_refraction
GT30068,T3,67.0,50.0389652252197,geode_refraction,T3_1m_refraction
GT30069,T3,68.0,50.0342111587524,geode_refraction,T3_1m_refraction
GT30070,T3,69.0,50.048606009135106,geode_refraction,T3_1m_refraction
GT30071,T3,70.0,50.09020133482871,geode_refraction,T3_1m_refraction
GT30072,T3,71.0,50.14341558181536,geode_refraction,T3_1m_refraction
