station,network,x_m,z_m,receiver_type,source_geometry,serial_number
N000,T3,0.5,50.002460745386365,smartsolo_node,T3_N4_geometry,453019414.0
N001,T3,2.5,49.990056779907356,smartsolo_node,T3_N4_geometry,453012800.0
N002,T3,4.5,50.03541873604931,smartsolo_node,T3_N4_geometry,453014060.0
N003,T3,6.5,50.08402287022945,smartsolo_node,T3_N4_geometry,453013060.0
N004,T3,8.5,50.121011231383214,smartsolo_node,T3_N4_geometry,453012536.0
N005,T3,10.46,50.13849844701976,smartsolo_node,T3_N4_geometry,453013425.0
N006,T3,12.5,50.1806765369719,smartsolo_node,T3_N4_geometry,453020406.0
N007,T3,14.465,50.255811722173725,smartsolo_node,T3_N4_geometry,453020221.0
N008,T3,16.46,50.28011787951891,smartsolo_node,T3_N4_geometry,453013396.0
N009,T3,18.5,50.31266107519748,smartsolo_node,T3_N4_geometry,453013828.0
N010,T3,20.5,50.33625322399192,smartsolo_node,T3_N4_geometry,453013593.0
N011,T3,22.5,50.3568626909359,smartsolo_node,T3_N4_geometry,453013230.0
N012,T3,24.58,50.39867129024471,smartsolo_node,T3_N4_geometry,453011953.0
N013,T3,26.36,50.3795299530029,smartsolo_node,T3_N4_geometry,453013783.0
N014,T3,28.5,50.3770475387573,smartsolo_node,T3_N4_geometry,453019115.0
N015,T3,30.5,50.38363094279342,smartsolo_node,T3_N4_geometry,453013322.0
N016,T3,32.41,50.348916053772,smartsolo_node,T3_N4_geometry,453014233.0
N017,T3,34.5,50.3107318878174,smartsolo_node,T3_N4_geometry,453012143.0
N018,T3,36.44,50.271293640136705,smartsolo_node,T3_N4_geometry,453012150.0
N019,T3,38.35,50.18881821556064,smartsolo_node,T3_N4_geometry,453005726.0
N020,T3,40.5,50.09389935556026,smartsolo_node,T3_N4_geometry,453005764.0
N021,T3,42.46,50.02104955297809,smartsolo_node,T3_N4_geometry,453011986.0
N022,T3,44.5,49.94195591191547,smartsolo_node,T3_N4_geometry,453012353.0
N023,T3,46.44,49.91211384653235,smartsolo_node,T3_N4_geometry,453012683.0
N024,T3,48.42,49.91753278283767,smartsolo_node,T3_N4_geometry,453011990.0
N025,T3,50.5,49.9091510772705,smartsolo_node,T3_N4_geometry,453012246.0
N026,T3,52.53,49.90911807380854,smartsolo_node,T3_N4_geometry,453011708.0
N027,T3,54.47,49.95116800296915,smartsolo_node,T3_N4_geometry,453013851.0
N028,T3,56.65,50.011144389422256,smartsolo_node,T3_N4_geometry,453012928.0
N029,T3,58.43,50.05240975060646,smartsolo_node,T3_N4_geometry,453013692.0
N030,T3,60.5,50.11430949858801,smartsolo_node,T3_N4_geometry,453012727.0
N031,T3,62.41,50.14967639929892,smartsolo_node,T3_N4_geometry,453014357.0
N032,T3,64.5,50.11005826877627,smartsolo_node,T3_N4_geometry,453012320.0
N033,T3,66.5,50.04405701615749,smartsolo_node,T3_N4_geometry,453012795.0
N034,T3,68.5,50.038352272913265,smartsolo_node,T3_N4_geometry,453020358.0
