station,network,x_m,z_m,receiver_type,source_geometry,serial_number
N000,T1,28.0,49.6881303787232,smartsolo_node,T1_N1_geometry,453020358.0
N001,T1,36.0,49.82112515956193,smartsolo_node,T1_N1_geometry,453012320.0
N002,T1,44.0,49.77689201143481,smartsolo_node,T1_N1_geometry,453019115.0
N003,T1,52.07,49.7800121307373,smartsolo_node,T1_N1_geometry,453014357.0
N004,T1,60.04,49.5469849058697,smartsolo_node,T1_N1_geometry,453013396.0
N005,T1,68.09,49.36750963650702,smartsolo_node,T1_N1_geometry,453013783.0
N006,T1,76.0,49.1087455749512,smartsolo_node,T1_N1_geometry,453012683.0
N007,T1,80.025,48.904212499671054,smartsolo_node,T1_N1_geometry,453013322.0
N008,T1,84.05,48.691890999457435,smartsolo_node,T1_N1_geometry,453020406.0
N009,T1,88.075,48.6077200167811,smartsolo_node,T1_N1_geometry,453012150.0
N010,T1,92.1,48.3510734951322,smartsolo_node,T1_N1_geometry,453012246.0
N011,T1,96.05,48.31232688304609,smartsolo_node,T1_N1_geometry,453011708.0
N012,T1,100.0,48.25348686765725,smartsolo_node,T1_N1_geometry,453012806.0
N013,T1,103.98,48.15874844532239,smartsolo_node,T1_N1_geometry,453012353.0
N014,T1,108.0,48.09105957090696,smartsolo_node,T1_N1_geometry,453005764.0
N015,T1,112.02,48.106028280066816,smartsolo_node,T1_N1_geometry,453012143.0
N016,T1,116.0,48.15567118979264,smartsolo_node,T1_N1_geometry,453013230.0
N017,T1,120.05,48.223429011031264,smartsolo_node,T1_N1_geometry,453012536.0
N018,T1,124.02,48.343239654327036,smartsolo_node,T1_N1_geometry,453014233.0
N019,T1,128.01,48.28986451913717,smartsolo_node,T1_N1_geometry,453019414.0
N020,T1,132.02,48.2876777648926,smartsolo_node,T1_N1_geometry,453013851.0
N021,T1,136.05,48.4764585494995,smartsolo_node,T1_N1_geometry,453011953.0
N022,T1,140.0,48.51736481612016,smartsolo_node,T1_N1_geometry,453011986.0
N023,T1,144.0,48.497302146900346,smartsolo_node,T1_N1_geometry,453005726.0
N024,T1,148.0,48.42311971192197,smartsolo_node,T1_N1_geometry,453013060.0
N025,T1,151.95,48.37547835179755,smartsolo_node,T1_N1_geometry,453020221.0
N026,T1,155.96,48.27593665022985,smartsolo_node,T1_N1_geometry,453012828.0
N027,T1,160.0,48.2672672271729,smartsolo_node,T1_N1_geometry,453013593.0
N028,T1,164.0,48.2686491012574,smartsolo_node,T1_N1_geometry,453012727.0
N029,T1,168.09,48.1865283617303,smartsolo_node,T1_N1_geometry,453013692.0
N030,T1,176.04,48.0630821576264,smartsolo_node,T1_N1_geometry,453012800.0
N031,T1,184.05,47.87366540051355,smartsolo_node,T1_N1_geometry,453012795.0
N032,T1,192.0,48.13075226880484,smartsolo_node,T1_N1_geometry,453013425.0
N033,T1,200.0,48.244804220604465,smartsolo_node,T1_N1_geometry,453014060.0
N034,T1,208.0,48.40421382286004,smartsolo_node,T1_N1_geometry,453011990.0
N035,T1,216.0,48.4955005645752,smartsolo_node,T1_N1_geometry,454013828.0
