station,network,x_m,z_m,receiver_type,source_geometry
GT10001,T1,87.0,48.64112494222806,geode_refraction,T1_1m_refraction
GT10002,T1,88.0,48.61395408246027,geode_refraction,T1_1m_refraction
GT10003,T1,89.0,48.55263588821619,geode_refraction,T1_1m_refraction
GT10004,T1,90.0,48.482296247711155,geode_refraction,T1_1m_refraction
GT10005,T1,91.0,48.40258575857097,geode_refraction,T1_1m_refraction
GT10006,T1,92.0,48.352658057943174,geode_refraction,T1_1m_refraction
GT10007,T1,93.0,48.3432187796567,geode_refraction,T1_1m_refraction
GT10008,T1,94.0,48.33343569841968,geode_refraction,T1_1m_refraction
GT10009,T1,95.0,48.32351184412579,geode_refraction,T1_1m_refraction
GT10010,T1,96.0,48.313065301412614,geode_refraction,T1_1m_refraction
GT10011,T1,97.0,48.29271452473711,geode_refraction,T1_1m_refraction
GT10012,T1,98.0,48.27063021536043,geode_refraction,T1_1m_refraction
GT10013,T1,99.0,48.26092141722212,geode_refraction,T1_1m_refraction
GT10014,T1,100.0,48.25348686765725,geode_refraction,T1_1m_refraction
GT10015,T1,101.0,48.24591882833883,geode_refraction,T1_1m_refraction
GT10016,T1,102.0,48.22498171723189,geode_refraction,T1_1m_refraction
GT10017,T1,103.0,48.19466453674308,geode_refraction,T1_1m_refraction
GT10018,T1,104.0,48.15806438291086,geode_refraction,T1_1m_refraction
GT10019,T1,105.0,48.14044380187996,geode_refraction,T1_1m_refraction
GT10020,T1,106.0,48.11345577239998,geode_refraction,T1_1m_refraction
GT10021,T1,107.0,48.1034526824952,geode_refraction,T1_1m_refraction
GT10022,T1,108.0,48.09105957090696,geode_refraction,T1_1m_refraction
GT10023,T1,109.0,48.06724325375825,geode_refraction,T1_1m_refraction
GT10024,T1,110.0,48.07188987731942,geode_refraction,T1_1m_refraction
GT10025,T1,111.0,48.0955181121827,geode_refraction,T1_1m_refraction
GT10026,T1,112.0,48.10561847686776,geode_refraction,T1_1m_refraction
GT10027,T1,113.0,48.11342239379891,geode_refraction,T1_1m_refraction
GT10028,T1,114.0,48.11341764881284,geode_refraction,T1_1m_refraction
GT10029,T1,115.0,48.132058305880044,geode_refraction,T1_1m_refraction
GT10030,T1,116.0,48.15567118979264,geode_refraction,T1_1m_refraction
GT10031,T1,117.0,48.1715894089958,geode_refraction,T1_1m_refraction
GT10032,T1,118.0,48.19583132910014,geode_refraction,T1_1m_refraction
GT10033,T1,119.0,48.22127210383829,geode_refraction,T1_1m_refraction
GT10034,T1,120.0,48.22341803301677,geode_refraction,T1_1m_refraction
GT10035,T1,121.0,48.22583805316109,geode_refraction,T1_1m_refraction
GT10036,T1,122.0,48.25094739120907,geode_refraction,T1_1m_refraction
GT10037,T1,123.0,48.29253218381339,geode_refraction,T1_1m_refraction
GT10038,T1,124.0,48.34249996972372,geode_refraction,T1_1m_refraction
GT10039,T1,125.0,48.3348126722954,geode_refraction,T1_1m_refraction
GT10040,T1,126.0,48.30027458212538,geode_refraction,T1_1m_refraction
GT10041,T1,127.0,48.27587734398211,geode_refraction,T1_1m_refraction
GT10042,T1,128.0,48.28969450108444,geode_refraction,T1_1m_refraction
GT10043,T1,129.0,48.29934488461126,geode_refraction,T1_1m_refraction
GT10044,T1,130.0,48.290499175555745,geode_refraction,T1_1m_refraction
GT10045,T1,131.0,48.287332534790096,geode_refraction,T1_1m_refraction
GT10046,T1,132.0,48.2876777648926,geode_refraction,T1_1m_refraction
GT10047,T1,133.0,48.3118524551392,geode_refraction,T1_1m_refraction
GT10048,T1,134.0,48.386380195617704,geode_refraction,T1_1m_refraction
GT10049,T1,135.0,48.4441738128662,geode_refraction,T1_1m_refraction
GT10050,T1,136.0,48.4764585494995,geode_refraction,T1_1m_refraction
GT10051,T1,137.0,48.5026302337647,geode_refraction,T1_1m_refraction
GT10052,T1,138.0,48.5060319900513,geode_refraction,T1_1m_refraction
GT10053,T1,139.0,48.5000123977661,geode_refraction,T1_1m_refraction
GT10054,T1,140.0,48.51736481612016,geode_refraction,T1_1m_refraction
GT10055,T1,141.0,48.51996222400017,geode_refraction,T1_1m_refraction
GT10056,T1,142.0,48.52770963113318,geode_refraction,T1_1m_refraction
GT10057,T1,143.0,48.50538294687045,geode_refraction,T1_1m_refraction
GT10058,T1,144.0,48.497302146900346,geode_refraction,T1_1m_refraction
GT10059,T1,145.0,48.49568152764613,geode_refraction,T1_1m_refraction
GT10060,T1,146.0,48.47642811510137,geode_refraction,T1_1m_refraction
GT10061,T1,147.0,48.4386212029503,geode_refraction,T1_1m_refraction
GT10062,T1,148.0,48.42311971192197,geode_refraction,T1_1m_refraction
GT10063,T1,149.0,48.41346127128303,geode_refraction,T1_1m_refraction
GT10064,T1,150.0,48.395918631996636,geode_refraction,T1_1m_refraction
GT10065,T1,151.0,48.38520707950745,geode_refraction,T1_1m_refraction
GT10066,T1,152.0,48.372433958392975,geode_refraction,T1_1m_refraction
GT10067,T1,153.0,48.33424131082538,geode_refraction,T1_1m_refraction
GT10068,T1,154.0,48.299600323027455,geode_refraction,T1_1m_refraction
GT10069,T1,155.0,48.2756086486319,geode_refraction,T1_1m_refraction
GT10070,T1,156.0,48.27595363876651,geode_refraction,T1_1m_refraction
GT10071,T1,157.0,48.28320235662763,geode_refraction,T1_1m_refraction
GT10072,T1,158.0,48.27319735568496,geode_refraction,T1_1m_refraction
