station,network,x_m,z_m,receiver_type,source_geometry
GT40001,T4,0.0,50.0,geode_refraction,T4_1m_refraction
GT40002,T4,1.0,49.99829403574902,geode_refraction,T4_1m_refraction
GT40003,T4,2.0,49.999309706383286,geode_refraction,T4_1m_refraction
GT40004,T4,3.0,49.97811394700459,geode_refraction,T4_1m_refraction
GT40005,T4,4.0,49.96880504981295,geode_refraction,T4_1m_refraction
GT40006,T4,5.0,49.96002545218489,geode_refraction,T4_1m_refraction
GT40007,T4,6.0,49.951974484371355,geode_refraction,T4_1m_refraction
GT40008,T4,7.0,49.94932529482088,geode_refraction,T4_1m_refraction
GT40009,T4,8.0,49.9500408172608,geode_refraction,T4_1m_refraction
GT40010,T4,9.0,49.9516792297364,geode_refraction,T4_1m_refraction
GT40011,T4,10.0,49.9600486755371,geode_refraction,T4_1m_refraction
GT40012,T4,11.0,49.9600534439087,geode_refraction,T4_1m_refraction
GT40013,T4,12.0,49.944289207458496,geode_refraction,T4_1m_refraction
GT40014,T4,13.0,49.9400634765625,geode_refraction,T4_1m_refraction
GT40015,T4,14.0,49.950876235962,geode_refraction,T4_1m_refraction
GT40016,T4,15.0,49.96989046795349,geode_refraction,T4_1m_refraction
GT40017,T4,16.0,49.955690174603816,geode_refraction,T4_1m_refraction
GT40018,T4,17.0,49.95134822253772,geode_refraction,T4_1m_refraction
GT40019,T4,18.0,49.958663154543544,geode_refraction,T4_1m_refraction
GT40020,T4,19.0,49.94206364265516,geode_refraction,T4_1m_refraction
GT40021,T4,20.0,49.93246473518597,geode_refraction,T4_1m_refraction
GT40022,T4,21.0,49.90089711683262,geode_refraction,T4_1m_refraction
GT40023,T4,22.0,49.82037634538766,geode_refraction,T4_1m_refraction
GT40024,T4,23.0,49.67853605659676,geode_refraction,T4_1m_refraction
GT40025,T4,24.0,49.600114143570664,geode_refraction,T4_1m_refraction
GT40026,T4,25.0,49.600118763016354,geode_refraction,T4_1m_refraction
GT40027,T4,26.0,49.600123382462044,geode_refraction,T4_1m_refraction
GT40028,T4,27.0,49.60012800190772,geode_refraction,T4_1m_refraction
GT40029,T4,28.0,49.60032216550538,geode_refraction,T4_1m_refraction
GT40030,T4,29.0,49.600139136173354,geode_refraction,T4_1m_refraction
GT40031,T4,30.0,49.60957099114479,geode_refraction,T4_1m_refraction
GT40032,T4,31.0,49.61014667553472,geode_refraction,T4_1m_refraction
GT40033,T4,32.0,49.611967117055215,geode_refraction,T4_1m_refraction
GT40034,T4,33.0,49.61071836926571,geode_refraction,T4_1m_refraction
GT40035,T4,34.0,49.59733359103468,geode_refraction,T4_1m_refraction
GT40036,T4,35.0,49.5801630020142,geode_refraction,T4_1m_refraction
GT40037,T4,36.0,49.5595693588257,geode_refraction,T4_1m_refraction
GT40038,T4,37.0,49.550172805786204,geode_refraction,T4_1m_refraction
GT40039,T4,38.0,49.5453224182129,geode_refraction,T4_1m_refraction
GT40040,T4,39.0,49.540182113647504,geode_refraction,T4_1m_refraction
GT40041,T4,40.0,49.5301866531372,geode_refraction,T4_1m_refraction
GT40042,T4,41.0,49.53935844103933,geode_refraction,T4_1m_refraction
GT40043,T4,42.0,49.530196534173214,geode_refraction,T4_1m_refraction
GT40044,T4,43.0,49.530807459659755,geode_refraction,T4_1m_refraction
GT40045,T4,44.0,49.54020535442227,geode_refraction,T4_1m_refraction
GT40046,T4,45.0,49.54447833894646,geode_refraction,T4_1m_refraction
GT40047,T4,46.0,49.54403150487832,geode_refraction,T4_1m_refraction
GT40048,T4,47.0,49.55643715583792,geode_refraction,T4_1m_refraction
GT40049,T4,48.0,49.60266215541711,geode_refraction,T4_1m_refraction
GT40050,T4,49.0,49.63240857396937,geode_refraction,T4_1m_refraction
GT40051,T4,50.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40052,T4,51.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40053,T4,52.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40054,T4,53.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40055,T4,54.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40056,T4,55.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40057,T4,56.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40058,T4,57.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40059,T4,58.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40060,T4,59.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40061,T4,60.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40062,T4,61.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40063,T4,62.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40064,T4,63.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40065,T4,64.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40066,T4,65.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40067,T4,66.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40068,T4,67.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40069,T4,68.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40070,T4,69.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40071,T4,70.0,49.630231857299805,geode_refraction,T4_1m_refraction
GT40072,T4,71.0,49.630231857299805,geode_refraction,T4_1m_refraction
